"Id";"activitydate";"TotalSteps";"TotalDistance";"VeryActiveDistance";"MediumActiveDistance";"SedentaryActiveDistance";"VeryActiveMinutes";"MediumActiveMinutes";"SedentaryMinutes";"Calories"
1503960366.0;"2016-04-12";13162;8.5;1.87999999523163;6.609999954700469;0;25;341;728;1985
1503960366.0;"2016-04-13";10735;6.96999979019165;1.57000005245209;5.400000035762784;0;21;236;776;1797
1503960366.0;"2016-04-14";10460;6.73999977111816;2.44000005722046;4.310000091791154;0;30;192;1218;1776
1503960366.0;"2016-04-15";9762;6.28000020980835;2.14000010490417;4.08999991416931;0;29;243;726;1745
1503960366.0;"2016-04-16";12669;8.15999984741211;2.71000003814697;5.449999958276751;0;36;231;773;1863
1503960366.0;"2016-04-17";9705;6.48000001907349;3.19000005722046;3.289999961853031;0;38;184;539;1728
1503960366.0;"2016-04-18";13019;8.59000015258789;3.25;5.350000023841855;0;42;249;1149;1921
1503960366.0;"2016-04-19";15506;9.88000011444092;3.52999997138977;6.35000026226044;0;50;295;775;2035
1503960366.0;"2016-04-20";10544;6.67999982833862;1.96000003814697;4.719999760389324;0;28;217;818;1786
1503960366.0;"2016-04-21";9819;6.34000015258789;1.3400000333786;5.000000089406966;0;19;219;838;1775
1503960366.0;"2016-04-22";12764;8.13000011444092;4.76000022888184;3.3600000143051103;0;66;157;1217;1827
1503960366.0;"2016-04-23";14371;9.03999996185303;2.80999994277954;6.230000138282772;0;41;283;732;1949
1503960366.0;"2016-04-24";10039;6.40999984741211;2.92000007629395;3.489999964833259;0;39;243;709;1788
1503960366.0;"2016-04-25";15355;9.80000019073486;5.28999996185303;4.5100000500679025;0;73;230;814;2013
1503960366.0;"2016-04-26";13755;8.78999996185303;2.32999992370605;6.459999978542331;0;31;302;833;1970
1503960366.0;"2016-04-27";18134;12.210000038147;6.40000009536743;5.819999843835832;0;78;254;1108;2159
1503960366.0;"2016-04-28";13154;8.52999973297119;3.53999996185303;4.94999992847443;0;48;217;782;1898
1503960366.0;"2016-04-29";11181;7.15000009536743;1.05999994277954;6.07999992370605;0;16;255;815;1837
1503960366.0;"2016-04-30";14673;9.25;3.55999994277954;5.68999993801117;0;52;251;712;1947
1503960366.0;"2016-05-01";10602;6.80999994277954;2.28999996185303;4.52000010013581;0;33;281;730;1820
1503960366.0;"2016-05-02";14727;9.71000003814697;3.21000003814697;6.490000069141392;0;41;292;798;2004
1503960366.0;"2016-05-03";15103;9.65999984741211;3.73000001907349;5.9300000667571995;0;50;278;816;1990
1503960366.0;"2016-05-04";11100;7.15000009536743;2.46000003814697;4.689999938011172;0;36;225;1179;1819
1503960366.0;"2016-05-05";14070;8.89999961853027;2.92000007629395;5.9600001573562595;0;45;274;857;1959
